id,product_id,user_id,rating,review
1,1,101,4,"Nice T-shirt, good fit."
2,1,102,5,"Great quality, worth the price."
3,2,101,3,"Not comfortable, returned it."
4,2,102,4,"Good jeans, fit well."
5,3,101,5,"Love these sneakers, very comfortable."
6,3,102,5,"Best sneakers I've ever had!"
7,4,102,2,"Expensive and not worth it."
8,5,101,4,"Good sound quality, comfortable to wear."
9,5,102,2,"Disappointing sound quality, uncomfortable."
10,6,101,5,"Perfect for my needs, durable."
11,7,102,4,"Nice design, good value for money."
12,8,101,1,"Damaged on arrival, returning it."
13,9,102,3,"Not the right size, exchanging it."
14,10,101,4,"Comfortable and stylish, love these boots."
